0.0	(0.000129327505203+0j)
0.001	(0.000131246231805+0j)
0.002	(0.000133209083413+0j)
0.003	(0.000135217446709+0j)
0.004	(0.000137272763946+0j)
0.005	(0.000139376535662+0j)
0.006	(0.000141530323557+0j)
0.007	(0.000143735753541+0j)
0.008	(0.000145994518951+0j)
0.009	(0.000148308383973+0j)
0.01	(0.00015067918726+0j)
0.011	(0.000153108845774+0j)
0.012	(0.000155599358865+0j)
0.013	(0.000158152812599+0j)
0.014	(0.000160771384359+0j)
0.015	(0.000163457347744+0j)
0.016	(0.000166213077778+0j)
0.017	(0.000169041056459+0j)
0.018	(0.000171943878695+0j)
0.019	(0.000174924258624+0j)
0.02	(0.000177985036408+0j)
0.021	(0.0001811291855+0j)
0.022	(0.000184359820488+0j)
0.023	(0.000187680205564+0j)
0.024	(0.000191093763733+0j)
0.025	(0.000194604086876+0j)
0.026	(0.000198214946858+0j)
0.027	(0.000201930307896+0j)
0.028	(0.000205754340508+0j)
0.029	(0.000209691437475+0j)
0.03	(0.0002137462324+0j)
0.031	(0.000217923621688+0j)
0.032	(0.00022222879106+0j)
0.033	(0.000226667248137+0j)
0.034	(0.000231244863209+0j)
0.035	(0.000235967921066+0j)
0.036	(0.000240843187811+0j)
0.037	(0.000245877997955+0j)
0.038	(0.000251080368948+0j)
0.039	(0.000256459152704+0j)
0.04	(0.000262024236877+0j)
0.041	(0.000267786812754+0j)
0.042	(0.000273759731961+0j)
0.043	(0.000279957980973+0j)
0.044	(0.000286399311079+0j)
0.045	(0.000293105072328+0j)
0.046	(0.000300101313569+0j)
0.047	(0.000307420227505+0j)
0.048	(0.000315102040329+0j)
0.049	(0.000323197470487+0j)
0.05	(0.00033177091128+0j)
0.051	(0.00034090452775+0j)
0.052	(0.000350703500415+0j)
0.053	(0.000361302697282+0j)
0.054	(0.000372875111594+0j)
0.055	(0.000385642466036+0j)
0.056	(0.0003998884544+0j)
0.057	(0.000415975168415+0j)
0.058	(0.000434363339206+0j)
0.059	(0.000455637107943+0j)
0.06	(0.000480534125781+0j)
0.061	(0.000509981865616+0j)
0.062	(0.000545141102741+0j)
0.063	(0.00058745758228+0j)
0.064	(0.000638722931418+0j)
0.065	(0.000701145885607+0j)
0.066	(0.000777434871091+0j)
0.067	(0.000870892911113+0j)
0.068	(0.000985525689488+0j)
0.069	(0.00112616340227+0j)
0.07	(0.00129859674569+0j)
0.071	(0.00150972701726+0j)
0.072	(0.00176772984013+0j)
0.073	(0.00208223145339+0j)
0.074	(0.00246449584357+0j)
0.075	(0.00292762022795+0j)
0.076	(0.0034867355498+0j)
0.077	(0.00415920772431+0j)
0.078	(0.00496483440609+0j)
0.079	(0.00592603106505+0j)
0.08	(0.00706799919552+0j)
0.081	(0.00841886858877+0j)
0.082	(0.0100098048219+0j)
0.083	(0.0118750725128+0j)
0.084	(0.0140520445187+0j)
0.085	(0.016581147171+0j)
0.086	(0.0195057318988+0j)
0.087	(0.0228718642436+0j)
0.088	(0.0267280223484+0j)
0.089	(0.0311246985416+0j)
0.09	(0.0361138996407+0j)
0.091	(0.0417485440687+0j)
0.092	(0.0480817567837+0j)
0.093	(0.0551660663278+0j)
0.094	(0.0630525119569+0j)
0.095	(0.0717896727546+0j)
0.096	(0.081422634801+0j)
0.097	(0.0919919168257+0j)
0.098	(0.103532379311+0j)
0.099	(0.116072146803+0j)
0.1	(0.12963157841+0j)
0.101	(0.144222327538+0j)
0.102	(0.159846539538+0j)
0.103	(0.176496246454+0j)
0.104	(0.194153033779+0j)
0.105	(0.212788079174+0j)
0.106	(0.232362704862+0j)
0.107	(0.252829657723+0j)
0.108	(0.274135460138+0j)
0.109	(0.296224412443+0j)
0.11	(0.319045281742+0j)
0.111	(0.342562613365+0j)
0.112	(0.366776476474+0j)
0.113	(0.391758568036+0j)
0.114	(0.417722180686+0j)
0.115	(0.445167415794+0j)
0.116	(0.475206881348+0j)
0.117	(0.510358347206+0j)
0.118	(0.556595602778+0j)
0.119	(0.628171244818+0j)
0.12	(0.746044552259+0j)
0.121	(0.835435355607+0j)
0.122	(0.762053183109+0j)
0.123	(0.686713501503+0j)
0.124	(0.655160642652+0j)
0.125	(0.645177130437+0j)
0.126	(0.644189213182+0j)
0.127	(0.647030555641+0j)
0.128	(0.651711395753+0j)
0.129	(0.657830640265+0j)
0.13	(0.666258933327+0j)
0.131	(0.679723259327+0j)
0.132	(0.704900934827+0j)
0.133	(0.757931766543+0j)
0.134	(0.869811128101+0j)
0.135	(1+0j)
0.136	(0.911147864786+0j)
0.137	(0.752758604473+0j)
0.138	(0.659955776012+0j)
0.139	(0.606085512064+0j)
0.14	(0.569207538004+0j)
0.141	(0.540001807175+0j)
0.142	(0.514543480724+0j)
0.143	(0.491094426859+0j)
0.144	(0.468865571097+0j)
0.145	(0.447512154564+0j)
0.146	(0.426910043553+0j)
0.147	(0.407048120207+0j)
0.148	(0.387972454952+0j)
0.149	(0.369755314789+0j)
0.15	(0.352476934372+0j)
0.151	(0.336214314487+0j)
0.152	(0.32103418318+0j)
0.153	(0.306988627287+0j)
0.154	(0.294112591767+0j)
0.155	(0.282422809532+0j)
0.156	(0.271917934167+0j)
0.157	(0.262579789023+0j)
0.158	(0.254375773631+0j)
0.159	(0.247262632445+0j)
0.16	(0.241192063101+0j)
0.161	(0.236119157446+0j)
0.162	(0.232015724608+0j)
0.163	(0.228892842555+0j)
0.164	(0.226842301747+0j)
0.165	(0.226119769836+0j)
0.166	(0.227327502334+0j)
0.167	(0.231853367691+0j)
0.168	(0.243001176778+0j)
0.169	(0.268716759812+0j)
0.17	(0.322033493763+0j)
0.171	(0.367705556993+0j)
0.172	(0.31554823195+0j)
0.173	(0.254597340506+0j)
0.174	(0.221118911444+0j)
0.175	(0.202017746413+0j)
0.176	(0.189179266494+0j)
0.177	(0.179173802273+0j)
0.178	(0.170511872108+0j)
0.179	(0.162503613175+0j)
0.18	(0.154816724634+0j)
0.181	(0.147293390175+0j)
0.182	(0.139867689012+0j)
0.183	(0.132525049805+0j)
0.184	(0.125280665849+0j)
0.185	(0.118167079479+0j)
0.186	(0.111226502474+0j)
0.187	(0.104505748187+0j)
0.188	(0.0980527059326+0j)
0.189	(0.0919137948604+0j)
0.19	(0.0861320883808+0j)
0.191	(0.0807459316382+0j)
0.192	(0.0757879444668+0j)
0.193	(0.0712843401655+0j)
0.194	(0.0672545113608+0j)
0.195	(0.0637108460448+0j)
0.196	(0.0606587438595+0j)
0.197	(0.0580968072284+0j)
0.198	(0.0560171853818+0j)
0.199	(0.0544060525436+0j)
0.2	(0.053244205147+0j)
0.201	(0.0525077675491+0j)
0.202	(0.0521690021458+0j)
0.203	(0.0521972294449+0j)
0.204	(0.0525598791131+0j)
0.205	(0.05322371916+0j)
0.206	(0.054156357026+0j)
0.207	(0.0553281935014+0j)
0.208	(0.0567151814345+0j)
0.209	(0.0583030941442+0j)
0.21	(0.0600947779302+0j)
0.211	(0.0621236461711+0j)
0.212	(0.0644810924671+0j)
0.213	(0.0673772625836+0j)
0.214	(0.0712879048506+0j)
0.215	(0.0773334575128+0j)
0.216	(0.0881902158356+0j)
0.217	(0.108164397707+0j)
0.218	(0.125059316921+0j)
0.219	(0.10955823386+0j)
0.22	(0.0916376424874+0j)
0.221	(0.0827642828639+0j)
0.222	(0.0785958745667+0j)
0.223	(0.0764894596223+0j)
0.224	(0.0753317233288+0j)
0.225	(0.0746402685357+0j)
0.226	(0.0741916944881+0j)
0.227	(0.0738774207592+0j)
0.228	(0.0736440259079+0j)
0.229	(0.0734665065412+0j)
0.23	(0.0733354494444+0j)
0.231	(0.0732506665987+0j)
0.232	(0.0732182508022+0j)
0.233	(0.0732499137781+0j)
0.234	(0.0733645636814+0j)
0.235	(0.0735932200599+0j)
0.236	(0.0739905218078+0j)
0.237	(0.0746615147429+0j)
0.238	(0.0758276543436+0j)
0.239	(0.0779978196494+0j)
0.24	(0.0823581116941+0j)
0.241	(0.0904367330912+0j)
0.242	(0.0953364171314+0j)
0.243	(0.0883314153706+0j)
0.244	(0.0823830171919+0j)
0.245	(0.0802562793902+0j)
0.246	(0.0807558351463+0j)
0.247	(0.0841763512916+0j)
0.248	(0.0925617313556+0j)
0.249	(0.103811835694+0j)
0.25	(0.0987419995413+0j)
0.251	(0.0861976598059+0j)
0.252	(0.0789423770123+0j)
0.253	(0.0751151786868+0j)
0.254	(0.0728093614306+0j)
0.255	(0.0711954509373+0j)
0.256	(0.0699167772897+0j)
0.257	(0.0688086327524+0j)
0.258	(0.0677902511014+0j)
0.259	(0.0668215367088+0j)
0.26	(0.0658848431406+0j)
0.261	(0.0649776296754+0j)
0.262	(0.0641110534135+0j)
0.263	(0.063313618835+0j)
0.264	(0.0626422028472+0j)
0.265	(0.0622082381663+0j)
0.266	(0.0622407031044+0j)
0.267	(0.0632467060308+0j)
0.268	(0.0664240764764+0j)
0.269	(0.0743005970241+0j)
0.27	(0.0861772677675+0j)
0.271	(0.0820802356728+0j)
0.272	(0.0673096948139+0j)
0.273	(0.0579981131012+0j)
0.274	(0.0527059598875+0j)
0.275	(0.0492316559286+0j)
0.276	(0.0466046647314+0j)
0.277	(0.0444138925102+0j)
0.278	(0.0424736110554+0j)
0.279	(0.040694646752+0j)
0.28	(0.0390326859787+0j)
0.281	(0.0374657927694+0j)
0.282	(0.0359838017484+0j)
0.283	(0.0345829237559+0j)
0.284	(0.0332628120659+0j)
0.285	(0.032024873517+0j)
0.286	(0.0308712559959+0j)
0.287	(0.0298042345336+0j)
0.288	(0.0288258576885+0j)
0.289	(0.027937788491+0j)
0.29	(0.0271413182963+0j)
0.291	(0.0264375682328+0j)
0.292	(0.0258279384367+0j)
0.293	(0.0253149439+0j)
0.294	(0.0249037365284+0j)
0.295	(0.0246049741599+0j)
0.296	(0.0244405714233+0j)
0.297	(0.0244561422669+0j)
0.298	(0.0247502779209+0j)
0.299	(0.0255489227283+0j)
0.3	(0.0273944496965+0j)
0.301	(0.0313948439372+0j)
0.302	(0.036762363598+0j)
0.303	(0.0347251899997+0j)
0.304	(0.0290870802131+0j)
0.305	(0.0258965396386+0j)
0.306	(0.0243332556719+0j)
0.307	(0.0235104829451+0j)
0.308	(0.023041201015+0j)
0.309	(0.0227586988617+0j)
0.31	(0.0225854625401+0j)
0.311	(0.0224826917949+0j)
0.312	(0.02242995019+0j)
0.313	(0.0224163182498+0j)
0.314	(0.0224363044509+0j)
0.315	(0.0224879445783+0j)
0.316	(0.022572094409+0j)
0.317	(0.0226926191667+0j)
0.318	(0.0228576490165+0j)
0.319	(0.0230826852612+0j)
0.32	(0.0233976734224+0j)
0.321	(0.0238636801247+0j)
0.322	(0.0246148345351+0j)
0.323	(0.0259672293889+0j)
0.324	(0.0286322828387+0j)
0.325	(0.0329947081394+0j)
0.326	(0.0337354401859+0j)
0.327	(0.0296363049718+0j)
0.328	(0.0268989810523+0j)
0.329	(0.0256226749751+0j)
0.33	(0.0250192465351+0j)
0.331	(0.0247200994507+0j)
0.332	(0.0245702663+0j)
0.333	(0.024502427325+0j)
0.334	(0.0244892005363+0j)
0.335	(0.0245267222988+0j)
0.336	(0.0246326525062+0j)
0.337	(0.0248563981913+0j)
0.338	(0.0253112060767+0j)
0.339	(0.0262609210291+0j)
0.34	(0.028331612245+0j)
0.341	(0.032551586959+0j)
0.342	(0.0362170879143+0j)
0.343	(0.0322460897399+0j)
0.344	(0.02756436573+0j)
0.345	(0.0250581515289+0j)
0.346	(0.0237116186984+0j)
0.347	(0.0228931435169+0j)
0.348	(0.0223381381998+0j)
0.349	(0.021933745596+0j)
0.35	(0.0216293851496+0j)
0.351	(0.021402355338+0j)
0.352	(0.0212423368764+0j)
0.353	(0.0211375969722+0j)
0.354	(0.0210870751979+0j)
0.355	(0.0211010322475+0j)
0.356	(0.0211834637897+0j)
0.357	(0.0213401737064+0j)
0.358	(0.0215828054972+0j)
0.359	(0.0219351661019+0j)
0.36	(0.0224503357718+0j)
0.361	(0.0232486084921+0j)
0.362	(0.0244659270245+0j)
0.363	(0.0253999515765+0j)
0.364	(0.0254894948531+0j)
0.365	(0.0260635282088+0j)
0.366	(0.0276429730224+0j)
0.367	(0.0304802739355+0j)
0.368	(0.0320683018851+0j)
0.369	(0.030248988459+0j)
0.37	(0.028909270714+0j)
0.371	(0.028550872359+0j)
0.372	(0.0286634784599+0j)
0.373	(0.0289879226751+0j)
0.374	(0.0294172138168+0j)
0.375	(0.029911476143+0j)
0.376	(0.0304692237508+0j)
0.377	(0.0311269760284+0j)
0.378	(0.0319845082771+0j)
0.379	(0.0332804342371+0j)
0.38	(0.0355909547509+0j)
0.381	(0.0401378728383+0j)
0.382	(0.0465852321782+0j)
0.383	(0.0453839770508+0j)
0.384	(0.0392697576224+0j)
0.385	(0.0362217460575+0j)
0.386	(0.0360507071161+0j)
0.387	(0.0368233158528+0j)
0.388	(0.0342505004805+0j)
0.389	(0.0309758716007+0j)
0.39	(0.0288533796328+0j)
0.391	(0.0273716406868+0j)
0.392	(0.0261658132835+0j)
0.393	(0.02508068018+0j)
0.394	(0.0240508162588+0j)
0.395	(0.0230484373929+0j)
0.396	(0.0220630154567+0j)
0.397	(0.0210929703284+0j)
0.398	(0.020142356905+0j)
0.399	(0.0192202177495+0j)
0.4	(0.0183424006041+0j)
