N	f(tot)	b	0.333067E+2 0.324744E+2 0.133948E+2 0.548731E+1 0.205689E+1 0.672505E+0 0.191487E+0 0.304067E-1
N	f(core)	a	0.853318E-2 0.986096E-3 0.519932E-3 0.423458E-3 0.452218E-2 0.998107E-2 0.758341E-2 0.300999E-2
N	f(core)	b	0.707761E+4 0.848233E+3 0.370070E+2 0.603996E+1 0.108466E+1 0.419096E+0 0.139895E+0 0.241296E-1
N	f(2s)	a	0.141365E-1 0.552969E-1 0.146733E+0 0.995752E-1 0.395859E-1 0.148898E-1 0.572644E-2 0.182020E-2
N	f(2s)	b	0.240043E+2 0.219477E+2 0.972635E+1 0.420982E+1 0.167361E+1 0.590125E+0 0.176887E+0 0.286454E-1
N	f(p0)	a	0.115859E-1 0.771851E-1 0.169105E+0 0.114466E+0 0.493306E-1 0.184212E-1 0.653379E-2 0.196434E-2
N	f(p0)	b	0.374304E+2 0.314112E+2 0.130812E+2 0.526183E+1 0.197951E+1 0.675234E+0 0.194745E+0 0.307274E-1
N	f(p1)	a	0.406066E-2 0.143531E+0 0.328083E+0 0.219385E+0 0.788233E-1 0.242469E-1 0.776080E-2 0.217724E-2
N	f(p1)	b	0.391875E+2 0.374350E+2 0.160976E+2 0.672019E+1 0.253353E+1 0.820080E+0 0.222565E+0 0.337663E-1
N	f(tot)	a	0.673334E-2 0.331902E+0 0.707659E+0 0.533085E+0 0.236787E+0 0.947820E-1 0.408998E-1 0.139177E-1
N	f(tot)	b	0.271134E+2 0.252845E+2 0.100503E+2 0.412423E+1 0.160568E+1 0.559324E+0 0.167916E+0 0.275477E-1
N	f(core)	a	-.173670E-1 -.239924E-2 -.476537E-3 0.275462E-3 0.250619E-2 0.724908E-2 0.649542E-2 0.277859E-2
N	f(core)	b	0.787949E+4 0.136775E+4 0.223742E+3 0.581382E+1 0.954355E+0 0.372492E+0 0.127606E+0 0.224347E-1
N	f(2s)	a	0.296555E-2 0.162081E-1 0.874507E-1 0.100870E+0 0.487818E-1 0.170669E-1 0.622353E-2 0.192303E-2
N	f(2s)	b	0.496376E+4 0.245307E+2 0.108699E+2 0.474731E+1 0.190738E+1 0.656740E+0 0.189785E+0 0.301586E-1
N	f(p0)	a	0.126523E-1 0.620226E-1 0.125403E+0 0.867875E-1 0.386090E-1 0.149420E-1 0.562271E-2 0.178540E-2
N	f(p0)	b	0.360689E+2 0.240099E+2 0.102649E+2 0.415471E+1 0.160411E+1 0.571366E+0 0.172804E+0 0.281151E-1
N	f(p1)	a	0.469129E-1 0.667442E-1 0.239015E+0 0.174508E+0 0.686706E-1 0.215487E-1 0.706043E-2 0.205387E-2
N	f(p1)	b	0.355143E+2 0.284778E+2 0.133917E+2 0.564608E+1 0.219244E+1 0.736879E+0 0.206391E+0 0.320114E-1
F	f(tot)	a	0.187676E+0 0.165456E+0 0.434162E-1 0.681083E+0 0.462200E+0 0.174084E+0 0.621711E-1 0.191705E-1
